Source Text,Original Target,Translation,Baseline,Metrics,Baseline Metrics
can I feed peanuts to the elephants at your wedding?,Får jeg gi elefantene peanøtter?,Kan jeg gi jordnøtter?,Kan jeg gi jordnøtter til elefantene på bryllupet ditt?,"{'bleu': 19.36, 'r1': 0.5, 'r2': 0.2, 'rl': 0.5, 'chrF': 31.22, 'chrf++': 32.52, 'bert_f1': 0.84, 'length': 22.0, 'len_ratio': 0.69}","{'bleu': 9.98, 'r1': 0.47, 'r2': 0.13, 'rl': 0.35, 'chrF': 52.34, 'chrf++': 48.77, 'bert_f1': 0.79, 'length': 55.0, 'len_ratio': 1.72}"
of course there'll be elephants it's a stereotype that you feed them peanuts,"Jo, men de får ingen peanøtter.",Selvfølgelig er det elefanter.,Selvfølgelig vil det være elefanter det er en stereotype som du fôrer dem jordnøtter,"{'bleu': 5.86, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 17.54, 'chrf++': 14.91, 'bert_f1': 0.69, 'length': 30.0, 'len_ratio': 0.97}","{'bleu': 0.0, 'r1': 0.15, 'r2': 0.0, 'rl': 0.15, 'chrF': 20.61, 'chrf++': 15.46, 'bert_f1': 0.67, 'length': 84.0, 'len_ratio': 2.71}"
thank you Penny and Leonard I was kind of hoping I could sit next to Anu,"Jeg vil sitte med Anu, Leonard.","Takk, Penny og Leonard.",Takk Penny og Leonard Jeg håpet jeg kunne sitte ved siden av Anu,"{'bleu': 12.87, 'r1': 0.2, 'r2': 0.0, 'rl': 0.2, 'chrF': 26.91, 'chrf++': 27.01, 'bert_f1': 0.73, 'length': 23.0, 'len_ratio': 0.74}","{'bleu': 4.37, 'r1': 0.4, 'r2': 0.0, 'rl': 0.3, 'chrF': 33.01, 'chrf++': 30.37, 'bert_f1': 0.77, 'length': 64.0, 'len_ratio': 2.06}"
yeah it's just we haven't done it yet and I think it's important to make sure we're compatible before we get married,Vi bør sjekke at vi passer sammen før vi gifter oss.,Vi har ikke gjort det ennå.,Ja det er bare vi ikke har gjort det ennå og jeg tror det er viktig å være sikker på at vi er kompatible før vi gifter oss,"{'bleu': 3.82, 'r1': 0.11, 'r2': 0.0, 'rl': 0.11, 'chrF': 10.61, 'chrf++': 10.23, 'bert_f1': 0.74, 'length': 27.0, 'len_ratio': 0.52}","{'bleu': 9.94, 'r1': 0.38, 'r2': 0.25, 'rl': 0.38, 'chrF': 34.08, 'chrf++': 34.02, 'bert_f1': 0.79, 'length': 122.0, 'len_ratio': 2.35}"
it doesn't have to be tonight how about this weekend? I can get us a room at my hotel,Det må ikke skje i kveld. Jeg kan ordne rom på hotellet i helgen.,Hva med helgen i kveld?,Jeg kan skaffe oss et rom på hotellet mitt,"{'bleu': 3.39, 'r1': 0.32, 'r2': 0.12, 'rl': 0.21, 'chrF': 17.5, 'chrf++': 16.77, 'bert_f1': 0.72, 'length': 23.0, 'len_ratio': 0.35}","{'bleu': 10.25, 'r1': 0.43, 'r2': 0.29, 'rl': 0.43, 'chrF': 34.44, 'chrf++': 32.88, 'bert_f1': 0.75, 'length': 42.0, 'len_ratio': 0.65}"
"okay, sounds nice",Ja!,Ok.,"Ok, lyder fint","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 0.0, 'chrf++': 0.0, 'bert_f1': 0.67, 'length': 3.0, 'len_ratio': 1.0}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 0.0, 'chrf++': 0.0, 'bert_f1': 0.65, 'length': 14.0, 'len_ratio': 4.67}"
I am not worried if anything I'm overconfident,"Nei, heller for selvsikker.",Jeg er ikke bekymret.,Jeg er ikke bekymret hvis noe jeg er over tillit,"{'bleu': 8.75, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 13.54, 'chrf++': 12.32, 'bert_f1': 0.73, 'length': 21.0, 'len_ratio': 0.78}","{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 16.99, 'chrf++': 12.74, 'bert_f1': 0.69, 'length': 48.0, 'len_ratio': 1.78}"
hey guys before Anu gets here can I talk about the seating situation,Kan vi snakke om sitteplassene?,"Hei, karer.",Hei gutter før Anu kommer hit kan jeg snakke om sittestillingen,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 3.53, 'chrf++': 2.65, 'bert_f1': 0.6, 'length': 11.0, 'len_ratio': 0.35}","{'bleu': 7.5, 'r1': 0.35, 'r2': 0.13, 'rl': 0.35, 'chrF': 40.36, 'chrf++': 35.93, 'bert_f1': 0.73, 'length': 63.0, 'len_ratio': 2.03}"
ah yes I wanted to get a jump on planning a day of fun for you,Jeg planlegger en artig dag for deg.,Ja.,ah ja jeg ønsket å få et hopp på planlegging en dag av moro for deg,"{'bleu': 0.0, 'r1': 0.0, 'r2': 0.0, 'rl': 0.0, 'chrF': 4.07, 'chrf++': 5.42, 'bert_f1': 0.58, 'length': 3.0, 'len_ratio': 0.08}","{'bleu': 5.82, 'r1': 0.45, 'r2': 0.1, 'rl': 0.45, 'chrF': 37.03, 'chrf++': 34.46, 'bert_f1': 0.76, 'length': 67.0, 'len_ratio': 1.86}"
ah to be honest I'm pretty anxious I mean this is the woman I'm marrying what if it's no good?,Jeg er ganske nervøs. Vi skal jo gifte oss. Tenk om det ikke blir bra.,Hva om det ikke hjelper?,ah for å være ærlig Jeg er ganske engstelig Jeg mener dette er kvinnen jeg gifter meg hva om det ikke er bra?,"{'bleu': 4.09, 'r1': 0.29, 'r2': 0.21, 'rl': 0.29, 'chrF': 16.67, 'chrf++': 16.62, 'bert_f1': 0.75, 'length': 24.0, 'len_ratio': 0.34}","{'bleu': 10.24, 'r1': 0.36, 'r2': 0.22, 'rl': 0.36, 'chrF': 38.03, 'chrf++': 35.86, 'bert_f1': 0.76, 'length': 109.0, 'len_ratio': 1.56}"
just don't put so much pressure on it it - it's always a little awkward in the beginning I remember the first time I slept with Penny.,Det er alltid litt kleint I starten. Jeg husker den første gangen vår.,Jeg husker første gang jeg lå med Penny.,Bare ikke sette så mye press på det - det er alltid litt vanskelig i begynnelsen jeg husker første gang jeg sov med Penny.,"{'bleu': 5.82, 'r1': 0.33, 'r2': 0.18, 'rl': 0.33, 'chrF': 30.68, 'chrf++': 27.61, 'bert_f1': 0.77, 'length': 40.0, 'len_ratio': 0.57}","{'bleu': 6.67, 'r1': 0.46, 'r2': 0.27, 'rl': 0.46, 'chrF': 45.35, 'chrf++': 39.99, 'bert_f1': 0.78, 'length': 122.0, 'len_ratio': 1.74}"
