en|no
can I feed peanuts to the elephants at your wedding?|Får jeg gi elefantene peanøtter?
of course there'll be elephants it's a stereotype that you feed them peanuts|Jo, men de får ingen peanøtter.
thank you Penny and Leonard I was kind of hoping I could sit next to Anu|Jeg vil sitte med Anu, Leonard.
yeah it's just we haven't done it yet and I think it's important to make sure we're compatible before we get married|Vi bør sjekke at vi passer sammen før vi gifter oss.
it doesn't have to be tonight how about this weekend? I can get us a room at my hotel|Det må ikke skje i kveld. Jeg kan ordne rom på hotellet i helgen.
okay, sounds nice|Ja!
I am not worried if anything I'm overconfident|Nei, heller for selvsikker.
hey guys before Anu gets here can I talk about the seating situation|Kan vi snakke om sitteplassene?
ah yes I wanted to get a jump on planning a day of fun for you|Jeg planlegger en artig dag for deg.
ah to be honest I'm pretty anxious I mean this is the woman I'm marrying what if it's no good?|Jeg er ganske nervøs. Vi skal jo gifte oss. Tenk om det ikke blir bra.
just don't put so much pressure on it it - it's always a little awkward in the beginning I remember the first time I slept with Penny.|Det er alltid litt kleint I starten. Jeg husker den første gangen vår.
by the way Anu is Indian she's gonna know there's no sexual move called the screeching lotus|Og Anu vet nok at det ikke er noe som heter skrikende lotus.
hey have you checked the dates on these? they're all expired|Disse har gått ut på dato.
oh father in-law-son in-law-bonding|Vi knytter bånd.
Raj it's gonna be okay look sex isn't the most important thing in a relationship|Det ordner seg. Sex er ikke alt.
stop it you're acting weird and it's freaking me out|Slutt! Du gjør meg ille til mote!
yeah don't even get me started on unsolved mysteries|Og ikke snakk om uløselige mysterier
okay you wanted the truth here it is|Greit, her er sannheten.
oh Anu for most of my life I got so nervous around women that I couldn't talk to them without alcohol|Størsteparten av livet har jeg ikke greid å prate med damer uten alkohol
so you've been drunk every time we've seen each other?|Har du vært full når vi har møttes?
no no it hasn't happened in a long time and I really thought I was over it but I guess I don't know I guess I wanted so much for tonight to go well that I stressed myself out it came back|Nei, det har ikke skjedd på lenge. Jeg trodde jeg hadde kommet over det. Jeg ville at dette skulle gå bra, så jeg gjorde meg selv stresset. Det kom tilbake.
so the doctor prescribed Nizoral and it blocked enzyme action and the fungus cleared right up|Legemiddelet blokkerte enzymene, og da forsvant soppen.
guys focus my mom thinks that Sheldon is the reason I don't spend a lot of time with her|Moren min tror at Sheldon er grunnen til at vi ikke sees så ofte.
and it's easier to say I can't spend time with her because of Sheldon then to admit that I just I don't want to|Det er lettere enn å erkjenne at jeg ikke vil omgås henne.
Amy said she couldn't come to Thanksgiving dinner because you always have to spend it with your mother|Dere kom ikke på thanksgiving fordi du alltid må være med moren din.
look at that we're both angry at Amy you know maybe that's something we can bond over. let me ask you this how do you feel about Howard?|Vi er sinte på Amy begge to. Kanskje det vil føre oss nærmere. Hva synes du om Howard?
why would Amy feel the need to lie to me?|Hvorfor løy Amy til meg?
really? Even after she threw you under the bus you're still gonna defend her|Forsvarer du henne selv om hun skyldte på deg?
am I safe to assume you talking to me now is a good sign for our marriage?|Er det et godt tegn for ekteskapet vårt at du prater med meg nå?
thank you Amy it's so nice of you to have us over for dinner|Så hyggelig å få komme på middag.
you realise we still have a lot of work to do before we can publish|Det er fremdeles mye som gjenstår.
absolutely not if the king of Sweden hands me a medal I intend to smear it with Purell and kiss it|Nei, får jeg en medalje, kliner jeg på antibac og kysser den.
yes but he's always struck me as the guy in the plane crash who doesn't wait until you're all the way dead to eat you|Men han er typen til å spise en opp før man er død etter en flyulykke.
you know we're almost finished with our paper we just need help tracking down the citations|Vi er neste ferdig med artikkelen, men noen må sjekke sitatene.
I am not gonna spend weeks in a library looking up old papers can't we hire a grad-student to do it?|Kan vi ikke betale en doktorand for å sjekke sitatene?
well what if we ask one of our friends to help us out how about Leonard?|Vi kan be Leonard om hjelp.
Fortnite a bunch of people parachute onto an island and fight it out to be the last man standing|Fortnite. Masse folk kjemper til bare én er igjen på en øy.
